Date,TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
3/27/0022,38,25,0,0,0
3/28/0022,35,25,0,0,0
3/29/0022,45,31,0,0,0
3/30/0022,64,45,1.32,0,0
3/31/0022,50,34,0.36,0.1,0
4/1/0022,47,33,0,0,0
4/2/0022,45,35,0.22,0,0
4/3/0022,49,33,0.15,0,0
4/4/0022,55,43,0.07,0,0
4/5/0022,55,39,0.03,0,0
4/6/0022,59,45,0.57,0,0
4/7/0022,46,41,0.07,0,0
4/8/0022,43,35,0.26,0.1,0
4/9/0022,50,34,0,0,0
4/10/0022,64,36,0,0,0
4/11/0022,63,48,0,0,0
4/12/0022,72,43,0,0,0
4/13/0022,72,42,0.5,0,0
4/14/0022,55,37,0,0,0
4/15/0022,56,42,0.05,0,0
4/16/0022,51,35,0,0,0
4/17/0022,43,34,0,0,0
4/18/0022,42,35,0.14,0.4,0
4/19/0022,51,38,0,0,0
4/20/0022,56,43,0.22,0,0
4/21/0022,71,51,0.07,0,0
4/22/0022,61,50,0.72,0,0
4/23/0022,86,57,0,0,0
4/24/0022,75,58,0.1,0,0
4/25/0022,58,42,0,0,0
4/26/0022,54,39,0,0,0
4/27/0022,44,36,0,0,0
4/28/0022,52,40,0,0,0
4/29/0022,70,51,0.01,0,0
4/30/0022,73,52,0.7,0,0
5/1/0022,59,51,0,0,0
5/2/0022,56,47,0,0,0
5/3/0022,52,45,1.17,0,0
5/4/0022,57,42,0,0,0
5/5/0022,54,45,0.23,0,0
5/6/0022,54,50,0.41,0,0
5/7/0022,65,48,0,0,0
5/8/0022,69,46,0,0,0
5/9/0022,85,57,0,0,0
5/10/0022,92,70,0,0,0
5/11/0022,91,77,0,0,0
5/12/0022,95,76,0,0,0
5/13/0022,93,71,0,0,0
5/14/0022,85,68,0,0,0
5/15/0022,79,59,0.05,0,0
5/16/0022,80,56,0,0,0
5/17/0022,68,54,0,0,0
5/18/0022,64,55,0.34,0,0
5/19/0022,88,56,0,0,0
5/20/0022,89,62,0.56,0,0
5/21/0022,64,57,0.28,0,0
5/22/0022,65,53,0,0,0
5/23/0022,63,48,0,0,0
5/24/0022,68,52,0,0,0
5/25/0022,83,58,0.21,0,0
5/26/0022,79,65,0.24,0,0
5/27/0022,65,52,0.13,0,0
5/28/0022,76,51,0,0,0
5/29/0022,87,65,0,0,0
5/30/0022,92,73,0,0,0
5/31/0022,90,75,0,0,0
6/1/0022,79,61,0.1,0,0
6/2/0022,79,60,0.02,0,0
6/3/0022,83,62,0,0,0
6/4/0022,72,59,0,0,0
6/5/0022,81,63,0,0,0
6/6/0022,76,60,0.91,0,0
6/7/0022,71,57,0,0,0
6/8/0022,72,58,0.47,0,0
6/9/0022,80,53,0,0,0
6/10/0022,82,59,0.02,0,0
6/11/0022,76,60,0,0,0
6/12/0022,74,60,0.09,0,0
6/13/0022,93,62,0,0,0
6/14/0022,100,75,0,0,0
6/15/0022,100,83,0,0,0
6/16/0022,97,75,0.11,0,0
6/17/0022,88,69,0,0,0
6/18/0022,76,59,0,0,0
6/19/0022,88,57,0,0,0
6/20/0022,97,67,0,0,0
6/21/0022,101,73,0,0,0
6/22/0022,92,74,0,0,0
6/23/0022,85,72,0,0,0
6/24/0022,93,67,0,0,0
6/25/0022,81,68,0.39,0,0
6/26/0022,83,68,0,0,0
6/27/0022,81,63,0,0,0
6/28/0022,88,62,0,0,0
6/29/0022,89,70,0,0,0
6/30/0022,94,74,0,0,0
7/1/0022,85,69,0.06,0,0
7/2/0022,86,65,0,0,0
7/3/0022,88,69,0,0,0
7/4/0022,90,72,0.19,0,0
7/5/0022,95,70,1.67,0,0
7/6/0022,82,72,0.33,0,0
7/7/0022,86,72,0,0,0
7/8/0022,81,72,0.02,0,0
7/9/0022,79,69,0,0,0
7/10/0022,88,62,0,0,0
7/11/0022,87,72,0,0,0
7/12/0022,88,71,0,0,0
7/13/0022,85,70,0,0,0
7/14/0022,82,64,0,0,0
7/15/0022,76,69,0.85,0,0
7/16/0022,78,71,0,0,0
7/17/0022,77,71,1.5,0,0
7/18/0022,91,71,0,0,0
7/19/0022,91,73,0,0,0
7/20/0022,89,78,0,0,0
7/21/0022,94,72,0,0,0
7/22/0022,92,71,0,0,0
7/23/0022,88,71,1.85,0,0
7/24/0022,88,74,0.56,0,0
7/25/0022,79,69,0,0,0
7/26/0022,83,68,0,0,0
7/27/0022,87,71,0.41,0,0
7/28/0022,83,70,0,0,0
7/29/0022,83,64,0,0,0
7/30/0022,85,66,0,0,0
7/31/0022,86,68,0,0,0
8/1/0022,89,75,0,0,0
8/2/0022,91,71,0,0,0
8/3/0022,95,76,,0,0
8/4/0022,85,75,0,0,0
8/5/0022,88,73,0,0,0
8/6/0022,95,77,0,0,0
8/7/0022,84,78,,0,0
8/8/0022,84,69,,0,0
8/9/0022,78,65,0,0,0
8/10/0022,87,62,0,0,
8/11/0022,80,68,0,0,0
8/12/0022,81,63,0,0,0
8/13/0022,80,69,0,0,0
8/14/0022,80,71,0,0,0
8/15/0022,81,69,0,0,0
8/16/0022,84,67,0,0,0
8/17/0022,84,65,0,0,0
8/18/0022,86,63,0,0,0
8/19/0022,88,69,0,0,0
8/20/0022,79,68,,0,0
8/21/0022,81,68,,0,0
8/22/0022,84,65,0,0,0
8/23/0022,86,65,0,0,0
8/24/0022,87,67,0,0,0
8/25/0022,83,68,,0,0
8/26/0022,80,67,0,0,0
8/27/0022,84,62,0,0,0
8/28/0022,92,72,0,0,0
8/29/0022,87,72,,0,0
8/30/0022,82,67,0,0,0
8/31/0022,87,64,0,0,0
